review_id,phone_model,overall_rating,review_text,is_synthetic
R001,iPhone 16,5,"Two weeks in and I'm genuinely impressed. I leave home at 8 with 100% and still have around 35% by 10 pm, mostly WhatsApp, maps and Instagram. The new Camera Control button took a day to get used to but now I like tapping it for quick shots. Paid ₹79,900 for the 128GB and it feels worth it so far.",true
R002,iPhone 16,2,"Battery has been disappointing for me. Off the charger at 7 am and down to 30% by 3 pm with just calls, mail and light browsing on office Wi-Fi. Thought it would improve after the first week but it's the same on day twelve. Expected more from a new iPhone.",true
R003,iPhone 16,3,"Daytime photos are excellent, really crisp with natural colours. Low light is where it gets inconsistent — sometimes Night mode nails it, other times my dog just turns into a blurry smudge if he moves even a little. Great for outdoor shots, hit or miss for indoor family pictures.",true
R004,iPhone 16,4,"Watching shows on this screen is lovely. Deep blacks, subtitles are crisp even near a bright window. The Ultramarine colour looks great and barely shows fingerprints. Only gripe is the flat titanium-style edges dig into my palm a bit during long calls.",true
R005,iPhone 16,2,"Bought this partly for gaming. Genshin Impact runs smoothly for the first fifteen minutes, then it heats up near the camera bump and frame drops start during boss fights. Reducing graphics settings helps a little but I expected the A18 chip to handle it better without throttling this fast.",true
R006,iPhone 16,4,"₹79,900 mein overall sahi laga mujhe. Office ke calls aur mail smoothly chal rahe hain, koi hang nahi hua abhi tak. Camera din mein zabardast hai, raat ko average side. Apple Intelligence abhi India mein pura available nahi hai, thoda disappointing hai yeh part. Daily use ke liye phone accha hai.",true
R007,iPhone 16,1,"The Action button on my unit feels loose and clicks even with light pressure, and there's a faint rattle from the Camera Control button when I shake it gently. Only had it five days, no drops. Feels off for a phone at this price. Booked a Genius Bar appointment for a replacement.",true
R008,iPhone 16,5,Fantastic phone. Very happy with the purchase!,true
R009,iPhone 16,3,"Received today, got the 128GB Black. Box says A18 chip and 48MP Fusion camera. Haven't set it up fully or taken any real photos yet. Will update after using it properly for a week.",true
R010,iPhone 16,3,"Six weeks in, it's a decent phone with a few trade-offs. Display is excellent for reading and video, and it survived a drop from the sofa arm without a scratch, which was a relief. It's a bit slippery without a case though. Battery gets me through a normal day but navigation plus music on a long drive means charging before I get home. For ₹79,900 I expected the battery to last a little longer.",true
R011,iPhone 16,2,"Indoors the screen is gorgeous, but outside at noon in Mumbai I can barely see my maps directions even at max brightness. Tried shading it with my hand at every signal. I'm outdoors a lot for work, so peak brightness has been a genuine letdown compared to what I expected.",true
R012,iPhone 16,5,"Finally a phone that doesn't need charging every night! I'm a light user, mostly calls, mail and some reading, and a full charge comfortably lasts a day and a half. A short top-up during breakfast is enough before I head out. Really pleased with the battery life.",true
R013,iPhone 16,4,Build quality feels excellent. The buttons click properly and the aluminium frame doesn't creak when I squeeze it. Been using it without a case for three weeks and the finish still looks new. Genuinely impressed by how solid it feels in hand.,true
R014,iPhone 16,3,"At ₹79,900 this feels like just okay value this generation. Nothing wrong with it exactly, but my two year old iPhone 12 handled my daily routine almost as well. Doesn't feel like a huge jump for the price, especially with Apple Intelligence still not fully rolled out here.",true
